VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, 0.70681, 7.53026, 1.15366, -0.02884, -0.35291, 0.93406, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
1, 1, 0.7697, 7.69228, 1.18934, 0.02265, -0.22322, 0.97336, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.00096
2, 2, 0.60271, 7.78382, 1.15678, -0.50356, -0.15305, 0.84903, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
3, 0, 0.70681, 7.53026, 1.15366, -0.02884, -0.35291, 0.93406, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
4, 2, 0.60271, 7.78382, 1.15678, -0.50356, -0.15305, 0.84903, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
5, 3, 0.51528, 7.68528, 1.06511, -0.61608, -0.16802, 0.76816, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
6, 3, 0.51528, 7.68528, 1.06511, -0.61608, -0.16802, 0.76816, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
7, 2, 0.60271, 7.78382, 1.15678, -0.50356, -0.15305, 0.84903, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
8, 4, 0.49725, 7.80926, 1.06477, -0.66668, -0.09478, 0.73785, 0.80, 0.80, 0.80, 1.00, 0.74824, 0.07275
9, 5, -1.01234, 4.69497, 2.31033, 0.10419, -0.6274, 0.77079, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
10, 6, -0.87794, 4.38359, 2.02906, 0.14234, -0.63592, 0.75761, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
11, 7, -0.82008, 4.66742, 2.26146, 0.12837, -0.64401, 0.75328, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
12, 5, -1.01234, 4.69497, 2.31033, 0.10419, -0.6274, 0.77079, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
13, 8, -1.04699, 4.4268, 2.1015, 0.1058, -0.61963, 0.77682, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
14, 6, -0.87794, 4.38359, 2.02906, 0.14234, -0.63592, 0.75761, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
15, 7, -0.82008, 4.66742, 2.26146, 0.12837, -0.64401, 0.75328, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
16, 6, -0.87794, 4.38359, 2.02906, 0.14234, -0.63592, 0.75761, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
17, 9, -0.6758, 4.59145, 2.16598, 0.1557, -0.64479, 0.74743, 0.80, 0.80, 0.80, 1.00, 0.07377, 0.08963
18, 8, -1.04699, 4.4268, 2.1015, 0.1058, -0.61963, 0.77682, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
19, 5, -1.01234, 4.69497, 2.31033, 0.10419, -0.6274, 0.77079, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
20, 10, -1.1624, 4.54996, 2.20427, 0.04101, -0.61739, 0.78469, 0.80, 0.80, 0.80, 1.00, 0.16611, 0.12918
21, 11, -1.02419, 4.92219, 2.11518, 0.11718, 0.81183, 0.57142, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
22, 12, -0.97704, 5.05931, 1.87028, 0.23919, 0.88079, 0.40806, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
23, 13, -1.05858, 5.05526, 1.87809, 0.00346, 0.87235, 0.48833, 0.80, 0.80, 0.80, 1.00, 0.17648, 0.0044
24, 11, -1.02419, 4.92219, 2.11518, 0.11718, 0.81183, 0.57142, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
25, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
26, 12, -0.97704, 5.05931, 1.87028, 0.23919, 0.88079, 0.40806, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
27, 15, -0.92887, 4.54403, 1.77784, -0.43303, -0.40898, -0.80232, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
28, 16, -1.12605, 4.88321, 1.77865, -0.60185, -0.22862, -0.76407, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
29, 17, -0.98153, 4.84389, 1.70804, -0.48125, -0.27833, -0.83022, 0.80, 0.80, 0.80, 1.00, 0.31673, 0.00658
30, 15, -0.92887, 4.54403, 1.77784, -0.43303, -0.40898, -0.80232, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
31, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
32, 16, -1.12605, 4.88321, 1.77865, -0.60185, -0.22862, -0.76407, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
33, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
34, 19, -0.84896, 4.99632, 1.78627, 0.54713, 0.81672, 0.18147, 0.80, 0.80, 0.80, 1.00, 0.06758, 0.0022
35, 12, -0.97704, 5.05931, 1.87028, 0.23919, 0.88079, 0.40806, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
36, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
37, 20, -0.66073, 4.82369, 1.97161, 0.63596, 0.66804, 0.38507, 0.80, 0.80, 0.80, 1.00, 0.06962, 0.04232
38, 19, -0.84896, 4.99632, 1.78627, 0.54713, 0.81672, 0.18147, 0.80, 0.80, 0.80, 1.00, 0.06758, 0.0022
39, 21, -0.66073, 4.82369, 1.97161, 0.69042, -0.21224, -0.69027, 0.80, 0.80, 0.80, 1.00, 0.06953, 0.04232
40, 22, -0.98153, 4.84389, 1.70804, 0.62647, -0.10822, -0.77067, 0.80, 0.80, 0.80, 1.00, 0.00909, 0.00308
41, 23, -0.84896, 4.99632, 1.78627, 0.62184, -0.14697, -0.76801, 0.80, 0.80, 0.80, 1.00, 0.06744, 0.00219
42, 21, -0.66073, 4.82369, 1.97161, 0.69042, -0.21224, -0.69027, 0.80, 0.80, 0.80, 1.00, 0.06953, 0.04232
43, 24, -0.92887, 4.54403, 1.77784, 0.74392, -0.29912, -0.59616, 0.80, 0.80, 0.80, 1.00, 0.00573, 0.04991
44, 22, -0.98153, 4.84389, 1.70804, 0.62647, -0.10822, -0.77067, 0.80, 0.80, 0.80, 1.00, 0.00909, 0.00308
45, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
46, 25, -1.15744, 4.95268, 1.81242, -0.83442, -0.15459, -0.52738, 0.80, 0.80, 0.80, 1.00, 0.22293, 0.00477
47, 16, -1.12605, 4.88321, 1.77865, -0.60185, -0.22862, -0.76407, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
48, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
49, 26, -1.2227, 4.72542, 1.96681, -0.85897, -0.34713, -0.37436, 0.80, 0.80, 0.80, 1.00, 0.22844, 0.04552
50, 25, -1.15744, 4.95268, 1.81242, -0.83442, -0.15459, -0.52738, 0.80, 0.80, 0.80, 1.00, 0.22293, 0.00477
51, 27, -1.2227, 4.72542, 1.96681, -0.77306, 0.44288, 0.45246, 0.80, 0.80, 0.80, 1.00, 0.22837, 0.04551
52, 28, -1.05858, 5.05526, 1.87809, -0.77578, 0.49246, 0.3927, 0.80, 0.80, 0.80, 1.00, 0.17658, 0.0044
53, 29, -1.15744, 4.95268, 1.81242, -0.77373, 0.49251, 0.39667, 0.80, 0.80, 0.80, 1.00, 0.22281, 0.00477
54, 27, -1.2227, 4.72542, 1.96681, -0.77306, 0.44288, 0.45246, 0.80, 0.80, 0.80, 1.00, 0.22837, 0.04551
55, 30, -1.02419, 4.92219, 2.11518, -0.76738, 0.39093, 0.50667, 0.80, 0.80, 0.80, 1.00, 0.17578, 0.04431
56, 28, -1.05858, 5.05526, 1.87809, -0.77578, 0.49246, 0.3927, 0.80, 0.80, 0.80, 1.00, 0.17658, 0.0044
57, 31, -0.99182, 4.78228, 2.2435, 0.17497, 0.65642, 0.7331, 0.80, 0.80, 0.80, 1.00, 0.172, 0.07336
58, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
59, 11, -1.02419, 4.92219, 2.11518, 0.11718, 0.81183, 0.57142, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
60, 31, -0.99182, 4.78228, 2.2435, 0.17497, 0.65642, 0.7331, 0.80, 0.80, 0.80, 1.00, 0.172, 0.07336
61, 32, -0.78562, 4.76983, 2.20732, 0.44986, 0.52815, 0.7193, 0.80, 0.80, 0.80, 1.00, 0.12388, 0.07229
62, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
63, 33, -0.91143, 4.41137, 1.91395, -0.35034, -0.80106, -0.48465, 0.80, 0.80, 0.80, 1.00, 0.32207, 0.07652
64, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
65, 15, -0.92887, 4.54403, 1.77784, -0.43303, -0.40898, -0.80232, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
66, 33, -0.91143, 4.41137, 1.91395, -0.35034, -0.80106, -0.48465, 0.80, 0.80, 0.80, 1.00, 0.32207, 0.07652
67, 34, -1.08708, 4.44682, 1.98091, -0.61536, -0.75377, -0.22879, 0.80, 0.80, 0.80, 1.00, 0.27439, 0.07848
68, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
69, 32, -0.78562, 4.76983, 2.20732, 0.44986, 0.52815, 0.7193, 0.80, 0.80, 0.80, 1.00, 0.12388, 0.07229
70, 20, -0.66073, 4.82369, 1.97161, 0.63596, 0.66804, 0.38507, 0.80, 0.80, 0.80, 1.00, 0.06962, 0.04232
71, 14, -0.81002, 4.90606, 2.07461, 0.39566, 0.78206, 0.48072, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
72, 32, -0.78562, 4.76983, 2.20732, 0.44986, 0.52815, 0.7193, 0.80, 0.80, 0.80, 1.00, 0.12388, 0.07229
73, 35, -0.6443, 4.69106, 2.10878, 0.65067, 0.34184, 0.67692, 0.80, 0.80, 0.80, 1.00, 0.0705, 0.0715
74, 20, -0.66073, 4.82369, 1.97161, 0.63596, 0.66804, 0.38507, 0.80, 0.80, 0.80, 1.00, 0.06962, 0.04232
75, 36, -0.6443, 4.69106, 2.10878, 0.77889, -0.42805, -0.4567, 0.80, 0.80, 0.80, 1.00, 0.0705, 0.0714
76, 24, -0.92887, 4.54403, 1.77784, 0.74392, -0.29912, -0.59616, 0.80, 0.80, 0.80, 1.00, 0.00573, 0.04991
77, 21, -0.66073, 4.82369, 1.97161, 0.69042, -0.21224, -0.69027, 0.80, 0.80, 0.80, 1.00, 0.06953, 0.04232
78, 36, -0.6443, 4.69106, 2.10878, 0.77889, -0.42805, -0.4567, 0.80, 0.80, 0.80, 1.00, 0.0705, 0.0714
79, 37, -0.91143, 4.41137, 1.91395, 0.78061, -0.46771, -0.41283, 0.80, 0.80, 0.80, 1.00, 0.0081, 0.07893
80, 24, -0.92887, 4.54403, 1.77784, 0.74392, -0.29912, -0.59616, 0.80, 0.80, 0.80, 1.00, 0.00573, 0.04991
81, 34, -1.08708, 4.44682, 1.98091, -0.61536, -0.75377, -0.22879, 0.80, 0.80, 0.80, 1.00, 0.27439, 0.07848
82, 26, -1.2227, 4.72542, 1.96681, -0.85897, -0.34713, -0.37436, 0.80, 0.80, 0.80, 1.00, 0.22844, 0.04552
83, 18, -1.11238, 4.58297, 1.84928, -0.66014, -0.41849, -0.6226, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
84, 34, -1.08708, 4.44682, 1.98091, -0.61536, -0.75377, -0.22879, 0.80, 0.80, 0.80, 1.00, 0.27439, 0.07848
85, 38, -1.18949, 4.58531, 2.09446, -0.79788, -0.59976, -0.05, 0.80, 0.80, 0.80, 1.00, 0.22639, 0.07458
86, 26, -1.2227, 4.72542, 1.96681, -0.85897, -0.34713, -0.37436, 0.80, 0.80, 0.80, 1.00, 0.22844, 0.04552
87, 39, -1.18949, 4.58531, 2.09446, -0.76962, 0.39868, 0.49716, 0.80, 0.80, 0.80, 1.00, 0.22633, 0.07458
88, 30, -1.02419, 4.92219, 2.11518, -0.76738, 0.39093, 0.50667, 0.80, 0.80, 0.80, 1.00, 0.17578, 0.04431
