VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, NORMAL.x, NORMAL.y, NORMAL.z, WORLDPOS.x, WORLDPOS.y, WORLDPOS.z
0, 0, -28.93085, 26.45134, 110.2038, 111.16706, 0.00, 0.80, 0.00, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.02277, -0.32256, 0.94389, -28.93085, 26.45134, 110.2038
1, 1, -29.70714, 28.53158, 109.66, 110.62344, 0.00, 0.80, 0.00, 1.00, 0.44849, 0.00096, 0.44849, 0.00096, 0.03892, -0.19585, 0.97762, -29.70714, 28.53158, 109.66
2, 2, -28.046, 29.98811, 109.78877, 110.75218, 0.00, 0.80, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.48421, -0.09179, 0.86767, -28.046, 29.98811, 109.78877
3, 0, -28.93085, 26.45134, 110.2038, 111.16706, 0.00, 0.80, 0.00, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.02277, -0.32256, 0.94389, -28.93085, 26.45134, 110.2038
4, 2, -28.046, 29.98811, 109.78877, 110.75218, 0.00, 0.80, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.48421, -0.09179, 0.86767, -28.046, 29.98811, 109.78877
5, 3, -27.04467, 28.89783, 110.7912, 111.75427, 0.00, 0.80, 0.00, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.59997, -0.10099, 0.79088, -27.04467, 28.89783, 110.7912
6, 3, -27.04467, 28.89783, 110.7912, 111.75427, 0.00, 0.80, 0.00, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.59997, -0.10099, 0.79088, -27.04467, 28.89783, 110.7912
7, 2, -28.046, 29.98811, 109.78877, 110.75218, 0.00, 0.80, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.48421, -0.09179, 0.86767, -28.046, 29.98811, 109.78877
8, 4, -26.94922, 30.60091, 110.6207, 111.58383, 0.00, 0.80, 0.00, 1.00, 0.74824, 0.07275, 0.74824, 0.07275, -0.64619, -0.02524, 0.75998, -26.94922, 30.60091, 110.6207
9, 5, -2.85633, -21.58096, 111.99902, 112.96169, 0.00, 0.80, 0.00, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, -0.23318, -0.91732, 0.32107, -2.85633, -21.58096, 111.99902
