VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, 0.45654, 8.08734, 2.19389, -0.05957, -0.53071, 0.84485, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
1, 1, 0.491, 8.24589, 2.26557, -0.03182, -0.40577, 0.91286, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.00096
2, 2, 0.3156, 8.3195, 2.23088, -0.54978, -0.38157, 0.74259, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
3, 0, 0.45654, 8.08734, 2.19389, -0.05957, -0.53071, 0.84485, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
4, 2, 0.3156, 8.3195, 2.23088, -0.54978, -0.38157, 0.74259, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
5, 3, 0.25248, 8.23046, 2.11318, -0.65115, -0.39482, 0.6477, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
6, 3, 0.25248, 8.23046, 2.11318, -0.65115, -0.39482, 0.6477, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
7, 2, 0.3156, 8.3195, 2.23088, -0.54978, -0.38157, 0.74259, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
8, 4, 0.21613, 8.34863, 2.13328, -0.70928, -0.32427, 0.6255, 0.80, 0.80, 0.80, 1.00, 0.74824, 0.07275
9, 5, -0.87996, 6.41864, 3.92042, 0.16149, 0.06084, 0.98485, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
10, 6, -0.57662, 6.10111, 3.88235, 0.20192, 0.06415, 0.97715, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
11, 7, -0.68609, 6.45606, 3.8859, 0.19348, 0.04994, 0.97968, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
12, 5, -0.87996, 6.41864, 3.92042, 0.16149, 0.06084, 0.98485, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
13, 8, -0.76101, 6.0983, 3.92414, 0.15859, 0.07038, 0.98468, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
14, 6, -0.57662, 6.10111, 3.88235, 0.20192, 0.06415, 0.97715, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
15, 7, -0.68609, 6.45606, 3.8859, 0.19348, 0.04994, 0.97968, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
16, 6, -0.57662, 6.10111, 3.88235, 0.20192, 0.06415, 0.97715, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
17, 9, -0.50613, 6.41212, 3.84792, 0.21959, 0.05805, 0.97371, 0.80, 0.80, 0.80, 1.00, 0.07377, 0.08963
18, 8, -0.76101, 6.0983, 3.92414, 0.15859, 0.07038, 0.98468, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
19, 5, -0.87996, 6.41864, 3.92042, 0.16149, 0.06084, 0.98485, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
20, 10, -0.93488, 6.19158, 3.93678, 0.0979, 0.04795, 0.9939, 0.80, 0.80, 0.80, 1.00, 0.16611, 0.12918
21, 11, -0.93412, 6.45661, 3.62793, -0.33545, 0.94002, -0.05981, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
22, 12, -0.88959, 6.42986, 3.3479, -0.21593, 0.94657, -0.23891, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
23, 13, -0.96286, 6.3957, 3.36209, -0.44198, 0.88346, -0.15459, 0.80, 0.80, 0.80, 1.00, 0.17648, 0.0044
24, 11, -0.93412, 6.45661, 3.62793, -0.33545, 0.94002, -0.05981, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
25, 14, -0.72686, 6.51632, 3.59139, -0.05406, 0.98966, -0.13169, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
26, 12, -0.88959, 6.42986, 3.3479, -0.21593, 0.94657, -0.23891, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
27, 15, -0.62754, 6.04354, 3.58968, -0.05065, -0.93588, -0.34826, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
28, 16, -0.93484, 6.19025, 3.39468, -0.27989, -0.86414, -0.41788, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
29, 17, -0.77434, 6.186, 3.35362, -0.13784, -0.88348, -0.44741, 0.80, 0.80, 0.80, 1.00, 0.31673, 0.00658
30, 15, -0.62754, 6.04354, 3.58968, -0.05065, -0.93588, -0.34826, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
31, 18, -0.82301, 6.03086, 3.63429, -0.29089, -0.93838, -0.18578, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
32, 16, -0.93484, 6.19025, 3.39468, -0.27989, -0.86414, -0.41788, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
