VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, NORMAL.x, NORMAL.y, NORMAL.z, WORLDPOS.x, WORLDPOS.y, WORLDPOS.z
0, 0, -30.5482, 11.04379, 100.45166, 101.41817, NaN, NaN, NaN, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, 0.84528, -0.53098, 0.0596, -53.06106, 14.87335, -84.56536
1, 1, -30.86718, 13.14948, 99.60851, 100.57529, NaN, NaN, NaN, 1.00, 0.44849, 0.00096, 0.44849, 0.00096, 0.91333, -0.40598, 0.03184, -52.34426, 16.45889, -84.90996
2, 2, -29.07636, 14.20216, 99.98822, 100.95489, 1.26960E-07, 1.26960E-07, 1.26960E-07, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, 0.74285, -0.38171, 0.54997, -52.69123, 17.19501, -83.15601
3, 0, -30.5482, 11.04379, 100.45166, 101.41817, NaN, NaN, NaN, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, 0.84528, -0.53098, 0.0596, -53.06106, 14.87335, -84.56536
4, 2, -29.07636, 14.20216, 99.98822, 100.95489, 1.26960E-07, 1.26960E-07, 1.26960E-07, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, 0.74285, -0.38171, 0.54997, -52.69123, 17.19501, -83.15601
5, 3, -28.48521, 13.09689, 101.25498, 102.22122, 1.34598E-07, 1.34598E-07, 1.34598E-07, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, 0.6479, -0.39494, 0.65135, -53.8682, 16.30465, -82.52483
6, 3, -28.48521, 13.09689, 101.25498, 102.22122, 1.34598E-07, 1.34598E-07, 1.34598E-07, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, 0.6479, -0.39494, 0.65135, -53.8682, 16.30465, -82.52483
7, 2, -29.07636, 14.20216, 99.98822, 100.95489, 1.26960E-07, 1.26960E-07, 1.26960E-07, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, 0.74285, -0.38171, 0.54997, -52.69123, 17.19501, -83.15601
8, 4, -28.10025, 14.70145, 100.98905, 101.95538, 1.40128E-07, 1.40128E-07, 1.40128E-07, 1.00, 0.74824, 0.07275, 0.74824, 0.07275, 0.62566, -0.32436, 0.70946, -53.66719, 17.48628, -82.16135
9, 5, -15.89379, -13.47747, 85.07655, 86.04819, NaN, NaN, NaN, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, 0.98499, 0.06085, -0.16151, -35.79582, -1.81358, -71.20036
10, 6, -19.04066, -17.81464, 85.53152, 86.503, NaN, NaN, NaN, 1.00, 0.08136, 0.13403, 0.08136, 0.13403, 0.97729, 0.06416, -0.20195, -36.17647, -4.98895, -74.23378
11, 7, -17.91015, -12.93952, 85.29927, 86.27083, NaN, NaN, NaN, 1.00, 0.12471, 0.08883, 0.12471, 0.08883, 0.97983, 0.04995, -0.19351, -36.14102, -1.43941, -73.13906
12, 5, -15.89379, -13.47747, 85.07655, 86.04819, NaN, NaN, NaN, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, 0.98499, 0.06085, -0.16151, -35.79582, -1.81358, -71.20036
13, 8, -17.11837, -17.88495, 85.20736, 86.17896, NaN, NaN, NaN, 1.00, 0.12373, 0.13903, 0.12373, 0.13903, 0.98483, 0.07039, -0.15862, -35.75865, -5.01704, -72.3899
14, 6, -19.04066, -17.81464, 85.53152, 86.503, NaN, NaN, NaN, 1.00, 0.08136, 0.13403, 0.08136, 0.13403, 0.97729, 0.06416, -0.20195, -36.17647, -4.98895, -74.23378
15, 7, -17.91015, -12.93952, 85.29927, 86.27083, NaN, NaN, NaN, 1.00, 0.12471, 0.08883, 0.12471, 0.08883, 0.97983, 0.04995, -0.19351, -36.14102, -1.43941, -73.13906
