VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, NORMAL.x, NORMAL.y, NORMAL.z, WORLDPOS.x, WORLDPOS.y, WORLDPOS.z
0, 0, -57.58273, 5.00712, 99.71351, 100.68026, 0.43149, 0.43149, 0.43149, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.80855, -0.29436, 0.5095, -61.63818, 11.2829, -88.12025
1, 1, -58.05407, 7.34512, 99.47784, 100.44467, 0.49832, 0.49832, 0.49832, 1.00, 0.44849, 0.00096, 0.44849, 0.00096, -0.81767, -0.15665, 0.55396, -61.63182, 12.99306, -88.59431
2, 2, -56.18258, 8.23524, 99.29318, 100.26007, 1.21623, 1.21623, 1.21623, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.98539, -0.16677, 0.03461, -61.02885, 13.65016, -86.87857
3, 0, -57.58273, 5.00712, 99.71351, 100.68026, 0.43149, 0.43149, 0.43149, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.80855, -0.29436, 0.5095, -61.63818, 11.2829, -88.12025
4, 2, -56.18258, 8.23524, 99.29318, 100.26007, 1.21623, 1.21623, 1.21623, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.98539, -0.16677, 0.03461, -61.02885, 13.65016, -86.87857
5, 3, -55.21239, 6.70734, 99.97384, 100.9405, 1.21548, 1.21548, 1.21548, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.97428, -0.20198, -0.09995, -61.37657, 12.49922, -85.81413
6, 3, -55.21239, 6.70734, 99.97384, 100.9405, 1.21548, 1.21548, 1.21548, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.97428, -0.20198, -0.09995, -61.37657, 12.49922, -85.81413
7, 2, -56.18258, 8.23524, 99.29318, 100.26007, 1.21623, 1.21623, 1.21623, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.98539, -0.16677, 0.03461, -61.02885, 13.65016, -86.87857
8, 4, -54.84471, 8.35535, 99.87695, 100.84364, 1.21682, 1.21682, 1.21682, 1.00, 0.74824, 0.07275, 0.74824, 0.07275, -0.97581, -0.13835, -0.16925, -61.26514, 13.70031, -85.47517
9, 5, -39.06977, -28.91663, 91.45349, 92.423, 0.42898, 0.42898, 0.42898, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, -0.90813, 0.0225, 0.41809, -47.5701, -12.79208, -73.29562
