VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, 0.8026, 8.07058, 1.21861, -0.02277, -0.32256, 0.94389, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
1, 1, 0.8778, 8.2286, 1.24738, 0.03892, -0.19585, 0.97762, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.00096
2, 2, 0.71688, 8.33087, 1.21728, -0.48421, -0.09179, 0.86767, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
3, 0, 0.8026, 8.07058, 1.21861, -0.02277, -0.32256, 0.94389, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
4, 2, 0.71688, 8.33087, 1.21728, -0.48421, -0.09179, 0.86767, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
5, 3, 0.61988, 8.23626, 1.13146, -0.59997, -0.10099, 0.79088, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
6, 3, 0.61988, 8.23626, 1.13146, -0.59997, -0.10099, 0.79088, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
7, 2, 0.71688, 8.33087, 1.21728, -0.48421, -0.09179, 0.86767, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
8, 4, 0.61063, 8.36111, 1.12793, -0.64619, -0.02524, 0.75998, 0.80, 0.80, 0.80, 1.00, 0.74824, 0.07275
9, 5, -1.7233, 4.59881, 1.6153, -0.23318, -0.91732, 0.32107, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
10, 6, -1.65777, 4.44727, 1.2071, -0.19849, -0.93133, 0.30371, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
11, 7, -1.54613, 4.53143, 1.55082, -0.21348, -0.93036, 0.29641, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
12, 5, -1.7233, 4.59881, 1.6153, -0.23318, -0.91732, 0.32107, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
13, 8, -1.81188, 4.50656, 1.29877, -0.23005, -0.91486, 0.3302, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
14, 6, -1.65777, 4.44727, 1.2071, -0.19849, -0.93133, 0.30371, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
15, 7, -1.54613, 4.53143, 1.55082, -0.21348, -0.93036, 0.29641, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
16, 6, -1.65777, 4.44727, 1.2071, -0.19849, -0.93133, 0.30371, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
17, 9, -1.42231, 4.46714, 1.42349, -0.18743, -0.93804, 0.28983, 0.80, 0.80, 0.80, 1.00, 0.07377, 0.08963
18, 8, -1.81188, 4.50656, 1.29877, -0.23005, -0.91486, 0.3302, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
19, 5, -1.7233, 4.59881, 1.6153, -0.23318, -0.91732, 0.32107, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
20, 10, -1.89431, 4.59356, 1.45578, -0.29074, -0.89333, 0.34092, 0.80, 0.80, 0.80, 1.00, 0.16611, 0.12918
21, 11, -1.62801, 4.87928, 1.56923, 0.28912, 0.30535, 0.90604, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
22, 12, -1.50006, 5.09262, 1.43103, 0.45114, 0.39686, 0.79804, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
23, 13, -1.57841, 5.11538, 1.43914, 0.21664, 0.43619, 0.87224, 0.80, 0.80, 0.80, 1.00, 0.17648, 0.0044
24, 11, -1.62801, 4.87928, 1.56923, 0.28912, 0.30535, 0.90604, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
25, 14, -1.42798, 4.80865, 1.51683, 0.55226, 0.2257, 0.80106, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
26, 12, -1.50006, 5.09262, 1.43103, 0.45114, 0.39686, 0.79804, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
27, 15, -1.6122, 4.71797, 1.0801, -0.41226, 0.24197, -0.87691, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
28, 16, -1.6827, 5.05538, 1.26741, -0.51514, 0.42579, -0.74235, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
29, 17, -1.55038, 5.0072, 1.18042, -0.40921, 0.37598, -0.82994, 0.80, 0.80, 0.80, 1.00, 0.31673, 0.00658
30, 15, -1.6122, 4.71797, 1.0801, -0.41226, 0.24197, -0.87691, 0.80, 0.80, 0.80, 1.00, 0.32124, 0.0475
31, 18, -1.781, 4.77972, 1.16933, -0.65473, 0.22726, -0.71918, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
32, 16, -1.6827, 5.05538, 1.26741, -0.51514, 0.42579, -0.74235, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
33, 14, -1.42798, 4.80865, 1.51683, 0.55226, 0.2257, 0.80106, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
34, 19, -1.38878, 5.03867, 1.32096, 0.75161, 0.34795, 0.55834, 0.80, 0.80, 0.80, 1.00, 0.06758, 0.0022
35, 12, -1.50006, 5.09262, 1.43103, 0.45114, 0.39686, 0.79804, 0.80, 0.80, 0.80, 1.00, 0.13161, 0.00331
36, 14, -1.42798, 4.80865, 1.51683, 0.55226, 0.2257, 0.80106, 0.80, 0.80, 0.80, 1.00, 0.12673, 0.04318
37, 20, -1.30046, 4.74129, 1.37952, 0.75266, 0.09653, 0.64937, 0.80, 0.80, 0.80, 1.00, 0.06962, 0.04232
38, 19, -1.38878, 5.03867, 1.32096, 0.75161, 0.34795, 0.55834, 0.80, 0.80, 0.80, 1.00, 0.06758, 0.0022
39, 21, -1.30046, 4.74129, 1.37952, 0.67953, -0.07171, -0.72823, 0.80, 0.80, 0.80, 1.00, 0.06953, 0.04232
40, 22, -1.55038, 5.0072, 1.18042, 0.66736, 0.07362, -0.73914, 0.80, 0.80, 0.80, 1.00, 0.00909, 0.00308
41, 23, -1.38878, 5.03867, 1.32096, 0.64975, 0.04364, -0.757, 0.80, 0.80, 0.80, 1.00, 0.06744, 0.00219
42, 21, -1.30046, 4.74129, 1.37952, 0.67953, -0.07171, -0.72823, 0.80, 0.80, 0.80, 1.00, 0.06953, 0.04232
43, 24, -1.6122, 4.71797, 1.0801, 0.68554, -0.20669, -0.69622, 0.80, 0.80, 0.80, 1.00, 0.00573, 0.04991
44, 22, -1.55038, 5.0072, 1.18042, 0.66736, 0.07362, -0.73914, 0.80, 0.80, 0.80, 1.00, 0.00909, 0.00308
45, 18, -1.781, 4.77972, 1.16933, -0.65473, 0.22726, -0.71918, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
46, 25, -1.69406, 5.10429, 1.33393, -0.74385, 0.44983, -0.49217, 0.80, 0.80, 0.80, 1.00, 0.22293, 0.00477
47, 16, -1.6827, 5.05538, 1.26741, -0.51514, 0.42579, -0.74235, 0.80, 0.80, 0.80, 1.00, 0.27177, 0.00674
48, 18, -1.781, 4.77972, 1.16933, -0.65473, 0.22726, -0.71918, 0.80, 0.80, 0.80, 1.00, 0.27484, 0.04949
49, 26, -1.85461, 4.87253, 1.34877, -0.8548, 0.23104, -0.46208, 0.80, 0.80, 0.80, 1.00, 0.22844, 0.04552
50, 25, -1.69406, 5.10429, 1.33393, -0.74385, 0.44983, -0.49217, 0.80, 0.80, 0.80, 1.00, 0.22293, 0.00477
51, 27, -1.85461, 4.87253, 1.34877, -0.64218, 0.40225, 0.65086, 0.80, 0.80, 0.80, 1.00, 0.22837, 0.04551
