VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, NORMAL.x, NORMAL.y, NORMAL.z, WORLDPOS.x, WORLDPOS.y, WORLDPOS.z
0, 0, -27.75715, 23.2293, 110.50355, 111.46671, 0.80, 0.00, 0.00, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, 0.17709, -0.18193, 0.96454, -27.75715, 23.2293, 110.50355
1, 1, -28.19616, 25.56963, 110.23825, 111.20151, 0.80, 0.00, 0.00, 1.00, 0.44849, 0.00096, 0.44849, 0.00096, 0.214, -0.04215, 0.97331, -28.19616, 25.56963, 110.23825
2, 2, -26.31999, 26.45847, 110.27664, 111.23988, 0.80, 0.00, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.3292, -0.06018, 0.94008, -26.31999, 26.45847, 110.27664
3, 0, -27.75715, 23.2293, 110.50355, 111.46671, 0.80, 0.00, 0.00, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, 0.17709, -0.18193, 0.96454, -27.75715, 23.2293, 110.50355
4, 2, -26.31999, 26.45847, 110.27664, 111.23988, 0.80, 0.00, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.3292, -0.06018, 0.94008, -26.31999, 26.45847, 110.27664
5, 3, -25.44139, 24.91751, 111.04725, 112.01023, 0.80, 0.00, 0.00, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.44965, -0.10292, 0.88491, -25.44139, 24.91751, 111.04725
6, 3, -25.44139, 24.91751, 111.04725, 112.01023, 0.80, 0.00, 0.00, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.44965, -0.10292, 0.88491, -25.44139, 24.91751, 111.04725
7, 2, -26.31999, 26.45847, 110.27664, 111.23988, 0.80, 0.00, 0.00, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.3292, -0.06018, 0.94008, -26.31999, 26.45847, 110.27664
8, 4, -25.06592, 26.56447, 111.00851, 111.97151, 0.80, 0.00, 0.00, 1.00, 0.74824, 0.07275, 0.74824, 0.07275, -0.51492, -0.04305, 0.8538, -25.06592, 26.56447, 111.00851
9, 5, -20.44226, -13.16528, 97.34213, 98.30968, 0.80, 0.00, 0.00, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, 0.52646, -0.07073, 0.84463, -20.44226, -13.16528, 97.34213
10, 6, -22.83506, -17.2037, 99.66866, 100.63543, 0.80, 0.00, 0.00, 1.00, 0.08136, 0.13403, 0.08136, 0.13403, 0.56103, -0.06894, 0.82221, -22.83506, -17.2037, 99.66866
11, 7, -22.18627, -12.52888, 98.31326, 99.28049, 0.80, 0.00, 0.00, 1.00, 0.12471, 0.08883, 0.12471, 0.08883, 0.55278, -0.0828, 0.82651, -22.18627, -12.52888, 98.31326
12, 5, -20.44226, -13.16528, 97.34213, 98.30968, 0.80, 0.00, 0.00, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, 0.52646, -0.07073, 0.84463, -20.44226, -13.16528, 97.34213
13, 8, -21.24593, -17.40894, 98.58335, 99.55049, 0.80, 0.00, 0.00, 1.00, 0.12373, 0.13903, 0.12373, 0.13903, 0.52471, -0.0611, 0.84647, -21.24593, -17.40894, 98.58335
14, 6, -22.83506, -17.2037, 99.66866, 100.63543, 0.80, 0.00, 0.00, 1.00, 0.08136, 0.13403, 0.08136, 0.13403, 0.56103, -0.06894, 0.82221, -22.83506, -17.2037, 99.66866
15, 7, -22.18627, -12.52888, 98.31326, 99.28049, 0.80, 0.00, 0.00, 1.00, 0.12471, 0.08883, 0.12471, 0.08883, 0.55278, -0.0828, 0.82651, -22.18627, -12.52888, 98.31326
16, 6, -22.83506, -17.2037, 99.66866, 100.63543, 0.80, 0.00, 0.00, 1.00, 0.08136, 0.13403, 0.08136, 0.13403, 0.56103, -0.06894, 0.82221, -22.83506, -17.2037, 99.66866
17, 9, -23.69878, -12.95647, 99.46545, 100.4323, 0.80, 0.00, 0.00, 1.00, 0.07377, 0.08963, 0.07377, 0.08963, 0.57535, -0.07561, 0.81166, -23.69878, -12.95647, 99.46545
18, 8, -21.24593, -17.40894, 98.58335, 99.55049, 0.80, 0.00, 0.00, 1.00, 0.12373, 0.13903, 0.12373, 0.13903, 0.52471, -0.0611, 0.84647, -21.24593, -17.40894, 98.58335
19, 5, -20.44226, -13.16528, 97.34213, 98.30968, 0.80, 0.00, 0.00, 1.00, 0.17143, 0.09234, 0.17143, 0.09234, 0.52646, -0.07073, 0.84463, -20.44226, -13.16528, 97.34213
20, 10, -19.74478, -16.23334, 97.55447, 98.52196, 0.80, 0.00, 0.00, 1.00, 0.16611, 0.12918, 0.16611, 0.12918, 0.47012, -0.08079, 0.8764, -19.74478, -16.23334, 97.55447
21, 11, -18.82887, -11.57163, 99.61717, 100.58396, 0.80, 0.00, 0.00, 1.00, 0.17579, 0.04419, 0.17579, 0.04419, -0.23441, 0.95748, 0.16036, -18.82887, -11.57163, 99.61717
22, 12, -18.13155, -10.87446, 102.33257, 103.29845, 0.80, 0.00, 0.00, 1.00, 0.13161, 0.00331, 0.13161, 0.00331, -0.19153, 0.97884, -0.04936, -18.13155, -10.87446, 102.33257
23, 13, -17.45567, -11.38412, 102.00584, 102.97183, 0.80, 0.00, 0.00, 1.00, 0.17648, 0.0044, 0.17648, 0.0044, -0.37389, 0.91957, 0.10975, -17.45567, -11.38412, 102.00584
24, 11, -18.82887, -11.57163, 99.61717, 100.58396, 0.80, 0.00, 0.00, 1.00, 0.17579, 0.04419, 0.17579, 0.04419, -0.23441, 0.95748, 0.16036, -18.82887, -11.57163, 99.61717
25, 14, -20.71555, -10.63194, 100.60251, 101.56897, 0.80, 0.00, 0.00, 1.00, 0.12673, 0.04318, 0.12673, 0.04318, 0.00211, 0.99857, -0.01002, -20.71555, -10.63194, 100.60251
26, 12, -18.13155, -10.87446, 102.33257, 103.29845, 0.80, 0.00, 0.00, 1.00, 0.13161, 0.00331, 0.13161, 0.00331, -0.19153, 0.97884, -0.04936, -18.13155, -10.87446, 102.33257
27, 15, -21.15051, -16.87278, 102.19882, 103.16475, 0.80, 0.00, 0.00, 1.00, 0.32124, 0.0475, 0.32124, 0.0475, -0.274, -0.88, -0.38396, -21.15051, -16.87278, 102.19882
28, 16, -17.63097, -14.2218, 102.3457, 103.31158, 0.80, 0.00, 0.00, 1.00, 0.27177, 0.00674, 0.27177, 0.00674, -0.50357, -0.78672, -0.35236, -17.63097, -14.2218, 102.3457
29, 17, -18.98878, -14.11423, 103.34874, 104.31429, 0.80, 0.00, 0.00, 1.00, 0.31673, 0.00658, 0.31673, 0.00658, -0.38618, -0.81073, -0.4362, -18.98878, -14.11423, 103.34874
30, 15, -21.15051, -16.87278, 102.19882, 103.16475, 0.80, 0.00, 0.00, 1.00, 0.32124, 0.0475, 0.32124, 0.0475, -0.274, -0.88, -0.38396, -21.15051, -16.87278, 102.19882
31, 18, -19.45677, -17.2199, 101.06993, 102.03625, 0.80, 0.00, 0.00, 1.00, 0.27484, 0.04949, 0.27484, 0.04949, -0.43367, -0.88808, -0.1423, -19.45677, -17.2199, 101.06993
32, 16, -17.63097, -14.2218, 102.3457, 103.31158, 0.80, 0.00, 0.00, 1.00, 0.27177, 0.00674, 0.27177, 0.00674, -0.50357, -0.78672, -0.35236, -17.63097, -14.2218, 102.3457
33, 14, -20.71555, -10.63194, 100.60251, 101.56897, 0.80, 0.00, 0.00, 1.00, 0.12673, 0.04318, 0.12673, 0.04318, 0.00211, 0.99857, -0.01002, -20.71555, -10.63194, 100.60251
34, 19, -19.45161, -11.19994, 103.35835, 104.3239, 0.80, 0.00, 0.00, 1.00, 0.06758, 0.0022, 0.06758, 0.0022, 0.06719, 0.93824, -0.33517, -19.45161, -11.19994, 103.35835
35, 12, -18.13155, -10.87446, 102.33257, 103.29845, 0.80, 0.00, 0.00, 1.00, 0.13161, 0.00331, 0.13161, 0.00331, -0.19153, 0.97884, -0.04936, -18.13155, -10.87446, 102.33257
36, 14, -20.71555, -10.63194, 100.60251, 101.56897, 0.80, 0.00, 0.00, 1.00, 0.12673, 0.04318, 0.12673, 0.04318, 0.00211, 0.99857, -0.01002, -20.71555, -10.63194, 100.60251
37, 20, -22.29403, -11.137, 101.82539, 102.79144, 0.80, 0.00, 0.00, 1.00, 0.06962, 0.04232, 0.06962, 0.04232, 0.24915, 0.95674, -0.14077, -22.29403, -11.137, 101.82539
38, 19, -19.45161, -11.19994, 103.35835, 104.3239, 0.80, 0.00, 0.00, 1.00, 0.06758, 0.0022, 0.06758, 0.0022, 0.06719, 0.93824, -0.33517, -19.45161, -11.19994, 103.35835
39, 21, -22.29403, -11.137, 101.82539, 102.79144, 0.80, 0.00, 0.00, 1.00, 0.06953, 0.04232, 0.06953, 0.04232, 0.58823, -0.23364, -0.77299, -22.29403, -11.137, 101.82539
40, 22, -18.98878, -14.11423, 103.34874, 104.31429, 0.80, 0.00, 0.00, 1.00, 0.00909, 0.00308, 0.00909, 0.00308, 0.46868, -0.21694, -0.85508, -18.98878, -14.11423, 103.34874
41, 23, -19.45161, -11.19994, 103.35835, 104.3239, 0.80, 0.00, 0.00, 1.00, 0.06744, 0.00219, 0.06744, 0.00219, 0.48515, -0.24761, -0.8374, -19.45161, -11.19994, 103.35835
42, 21, -22.29403, -11.137, 101.82539, 102.79144, 0.80, 0.00, 0.00, 1.00, 0.06953, 0.04232, 0.06953, 0.04232, 0.58823, -0.23364, -0.77299, -22.29403, -11.137, 101.82539
43, 24, -21.15051, -16.87278, 102.19882, 103.16475, 0.80, 0.00, 0.00, 1.00, 0.00573, 0.04991, 0.00573, 0.04991, 0.69217, -0.23436, -0.68132, -21.15051, -16.87278, 102.19882
44, 22, -18.98878, -14.11423, 103.34874, 104.31429, 0.80, 0.00, 0.00, 1.00, 0.00909, 0.00308, 0.00909, 0.00308, 0.46868, -0.21694, -0.85508, -18.98878, -14.11423, 103.34874
45, 18, -19.45677, -17.2199, 101.06993, 102.03625, 0.80, 0.00, 0.00, 1.00, 0.27484, 0.04949, 0.27484, 0.04949, -0.43367, -0.88808, -0.1423, -19.45677, -17.2199, 101.06993
46, 25, -17.04021, -13.46558, 102.0912, 103.05717, 0.80, 0.00, 0.00, 1.00, 0.22293, 0.00477, 0.22293, 0.00477, -0.7024, -0.704, -0.0893, -17.04021, -13.46558, 102.0912
47, 16, -17.63097, -14.2218, 102.3457, 103.31158, 0.80, 0.00, 0.00, 1.00, 0.27177, 0.00674, 0.27177, 0.00674, -0.50357, -0.78672, -0.35236, -17.63097, -14.2218, 102.3457
48, 18, -19.45677, -17.2199, 101.06993, 102.03625, 0.80, 0.00, 0.00, 1.00, 0.27484, 0.04949, 0.27484, 0.04949, -0.43367, -0.88808, -0.1423, -19.45677, -17.2199, 101.06993
49, 26, -17.92001, -15.72434, 99.96198, 100.92866, 0.80, 0.00, 0.00, 1.00, 0.22844, 0.04552, 0.22844, 0.04552, -0.60096, -0.78863, 0.11914, -17.92001, -15.72434, 99.96198
50, 25, -17.04021, -13.46558, 102.0912, 103.05717, 0.80, 0.00, 0.00, 1.00, 0.22293, 0.00477, 0.22293, 0.00477, -0.7024, -0.704, -0.0893, -17.04021, -13.46558, 102.0912
51, 27, -17.92001, -15.72434, 99.96198, 100.92866, 0.80, 0.00, 0.00, 1.00, 0.22837, 0.04551, 0.22837, 0.04551, -0.81233, 0.26463, 0.51799, -17.92001, -15.72434, 99.96198
52, 28, -17.45567, -11.38412, 102.00584, 102.97183, 0.80, 0.00, 0.00, 1.00, 0.17658, 0.0044, 0.17658, 0.0044, -0.84912, 0.27293, 0.45019, -17.45567, -11.38412, 102.00584
53, 29, -17.04021, -13.46558, 102.0912, 103.05717, 0.80, 0.00, 0.00, 1.00, 0.22281, 0.00477, 0.22281, 0.00477, -0.84681, 0.27571, 0.45283, -17.04021, -13.46558, 102.0912
54, 27, -17.92001, -15.72434, 99.96198, 100.92866, 0.80, 0.00, 0.00, 1.00, 0.22837, 0.04551, 0.22837, 0.04551, -0.81233, 0.26463, 0.51799, -17.92001, -15.72434, 99.96198
55, 30, -18.82887, -11.57163, 99.61717, 100.58396, 0.80, 0.00, 0.00, 1.00, 0.17578, 0.04431, 0.17578, 0.04431, -0.77266, 0.25291, 0.58077, -18.82887, -11.57163, 99.61717
56, 28, -17.45567, -11.38412, 102.00584, 102.97183, 0.80, 0.00, 0.00, 1.00, 0.17658, 0.0044, 0.17658, 0.0044, -0.84912, 0.27293, 0.45019, -17.45567, -11.38412, 102.00584
57, 31, -20.05306, -12.36074, 98.21619, 99.18346, 0.80, 0.00, 0.00, 1.00, 0.172, 0.07336, 0.172, 0.07336, -0.08142, 0.93812, 0.33264, -20.05306, -12.36074, 98.21619
58, 14, -20.71555, -10.63194, 100.60251, 101.56897, 0.80, 0.00, 0.00, 1.00, 0.12673, 0.04318, 0.12673, 0.04318, 0.00211, 0.99857, -0.01002, -20.71555, -10.63194, 100.60251
59, 11, -18.82887, -11.57163, 99.61717, 100.58396, 0.80, 0.00, 0.00, 1.00, 0.17579, 0.04419, 0.17579, 0.04419, -0.23441, 0.95748, 0.16036, -18.82887, -11.57163, 99.61717
60, 31, -20.05306, -12.36074, 98.21619, 99.18346, 0.80, 0.00, 0.00, 1.00, 0.172, 0.07336, 0.172, 0.07336, -0.08142, 0.93812, 0.33264, -20.05306, -12.36074, 98.21619
61, 32, -21.85758, -11.40751, 99.14484, 100.1118, 0.80, 0.00, 0.00, 1.00, 0.12388, 0.07229, 0.12388, 0.07229, 0.21435, 0.93874, 0.26438, -21.85758, -11.40751, 99.14484
62, 14, -20.71555, -10.63194, 100.60251, 101.56897, 0.80, 0.00, 0.00, 1.00, 0.12673, 0.04318, 0.12673, 0.04318, 0.00211, 0.99857, -0.01002, -20.71555, -10.63194, 100.60251
63, 33, -22.21823, -17.63437, 100.69658, 101.66301, 0.80, 0.00, 0.00, 1.00, 0.32207, 0.07652, 0.32207, 0.07652, 0.04531, -0.9976, -0.00341, -22.21823, -17.63437, 100.69658
