VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, 0.81203, 7.72829, 1.33618, 0.50947, -0.29435, 0.8085, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
1, 1, 0.85943, 7.89931, 1.33682, 0.55392, -0.15664, 0.81761, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.00096
2, 2, 0.68786, 7.96502, 1.39711, 0.03461, -0.16676, 0.98533, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
3, 0, 0.81203, 7.72829, 1.33618, 0.50947, -0.29435, 0.8085, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
4, 2, 0.68786, 7.96502, 1.39711, 0.03461, -0.16676, 0.98533, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
5, 3, 0.58141, 7.84992, 1.36234, -0.09994, -0.20197, 0.97422, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
6, 3, 0.58141, 7.84992, 1.36234, -0.09994, -0.20197, 0.97422, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
7, 2, 0.68786, 7.96502, 1.39711, 0.03461, -0.16676, 0.98533, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
8, 4, 0.54752, 7.97003, 1.37349, -0.16924, -0.13834, 0.97576, 0.80, 0.80, 0.80, 1.00, 0.74824, 0.07275
9, 5, -0.67044, 5.32079, 2.74299, 0.41792, 0.02249, 0.90777, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
10, 6, -0.36563, 5.03577, 2.60112, 0.45436, 0.02999, 0.88987, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
11, 7, -0.49669, 5.37806, 2.66113, 0.44804, 0.01494, 0.89345, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
12, 5, -0.67044, 5.32079, 2.74299, 0.41792, 0.02249, 0.90777, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
13, 8, -0.53095, 5.01339, 2.69011, 0.41437, 0.0317, 0.90912, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
14, 6, -0.36563, 5.03577, 2.60112, 0.45436, 0.02999, 0.88987, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
15, 7, -0.49669, 5.37806, 2.66113, 0.44804, 0.01494, 0.89345, 0.80, 0.80, 0.80, 1.00, 0.12471, 0.08883
16, 6, -0.36563, 5.03577, 2.60112, 0.45436, 0.02999, 0.88987, 0.80, 0.80, 0.80, 1.00, 0.08136, 0.13403
17, 9, -0.33102, 5.35336, 2.57334, 0.47084, 0.02578, 0.88139, 0.80, 0.80, 0.80, 1.00, 0.07377, 0.08963
18, 8, -0.53095, 5.01339, 2.69011, 0.41437, 0.0317, 0.90912, 0.80, 0.80, 0.80, 1.00, 0.12373, 0.13903
19, 5, -0.67044, 5.32079, 2.74299, 0.41792, 0.02249, 0.90777, 0.80, 0.80, 0.80, 1.00, 0.17143, 0.09234
20, 10, -0.7014, 5.08909, 2.75575, 0.36036, 0.00322, 0.93239, 0.80, 0.80, 0.80, 1.00, 0.16611, 0.12918
21, 11, -0.80476, 5.36923, 2.47938, -0.40956, 0.90594, 0.10456, 0.80, 0.80, 0.80, 1.00, 0.17579, 0.04419
